doc_id,topic_id,summary,sentence_count
778,How to Get over an Ex Who You Lost Your Virginity to at a Young Age1, Accept your feelings.  Get some perspective.  Avoid negative self-talk.  Be realistic about the future.  Try to contain the grief.,5
779,How to Get over an Ex Who You Lost Your Virginity to at a Young Age2, Get some distance.  Talk to others.  Put the memories away.  Write in a journal.  Rediscover yourself.,5
780,How to Get over an Ex Who You Lost Your Virginity to at a Young Age3, Give it time.  Avoid rebounds.  Start dating again when you feel ready.,3
781,How to Get Over the Ex Who Bullies You," Whatever happens, do not say anything bad about your ex as he could use this against you if you decide to tell a teacher.  Treat him like any other bully.  record everything that is life threatening or abusive include times dates locations what you were doing , how this incident started   Take reasonable precautions against ever being alone with him.  Tell your friends what is happening and get their support.  Ignore your ex's verbal comments.  Stick to the facts.  Look for other exes he has left in his wake.",7
782,How to Get Over Him, Stop talking to him.  Go out with your friends.  Get rid of the mementos.  Talk it out.  Write it out.  Keep yourself distracted with exercise.  Do more at work.  Try a new hobby or activity.  Make yourself celebrate your freedom.  Put an end-date on the sadness.  Make a little change.  Make a significant change.  Make some new friends.  Be selfish for a while.  Don't rush back into another relationship.,15
783,How to Get over the Fact That He Used You Whilst He Had a Girlfriend," Avoid spending time with the boy.  Appear neutral towards the boy.  Confront the boy.  Get a grip.  Realize that if he is cheating on his girlfriend with you, he will possibly do the same to you.  Don't feel bad.  Resist temptation.  Ask for help.",8
784,How to Get over a Middle School Breakup1, Give yourself time to mourn.  Examine the relationship.,2
785,How to Handle a Cheating Boyfriend, Talk to trusted friends and family.  Look for suspicious communication.  Observe his schedule and note any deviations from established patterns.  Talk to your boyfriend's cheating partner.  Create a good time to talk.  Remain calm.  Say it.  Ask about details.  Find out his intentions.  Decide how you feel about what you found out.  Tell him directly.  Take precautions if your boyfriend is violent.  Focus on yourself for a little while.  Outline what he needs to do to earn your trust back.  Ask for more communication.  Set rules to rebuild trust.  Seek couples therapy if necessary.,17
786,How to Get over a Middle School Breakup2," Remove all objects or mementos that remind you of your ex.  Avoid contact with your ex.  Avoid going to places where your ex could be.  Avoid using the same routes at school, if possible.  Refrain from asking you and your ex's mutual friends how he or she is doing.",5
787,How to Get over a Middle School Breakup3, Take care of yourself.  Make time for your friends and family.  Do something you love.,3
788,How to Forget," Learn a new skill.  Exercise!, Try volunteering.  Play games.  Write something.  Travel, if you can.  Confront the issue.  Understand the problem.  Relinquish guilt.  Accept the reality.  Remember your own worth.  Find your strength.  Focus on yourself for awhile.  Find meaning in your experiences.  Try new things.  Meet new people.  Let yourself have fun and be happy.  Get help.  Get help forgetting a person.  Get help forgetting an event.  Work on repression and replacing memories.  Get more help with leaving the past behind.",21
789,How to Forget About a Girl You Like, Realize that you have to forget the girl.  Figure out why you can't stop thinking about her.  Make a game plan.  Spend time with your family.  Spend time with your closest friends.  Spend time with other girls.  Make a schedule for your day.  Improve other aspects of your life.  Pursue a new interest.  Start dating again.  Try to limit your obsessive behavior.,11
790,How to Get Over a Long Relationship That Ended1, Allow yourself to feel bad.  Talk about it.  Let your friends take care of you immediately after the breakup.  Write about it.  Don't blame yourself.  Distract yourself.,6
791,How to Get Over a Long Relationship That Ended2, Focus on yourself.  Identify the positive consequences.  Learn from your mistakes.,3
792,How to Get Over a Long Relationship That Ended3, Decide if you want to be friends.  Get space.  Get rid of things that remind you of your ex.  Be polite and brief if you bump into each other again.  Hold on to your good memories.,5
793,How to Forget About Someone Important," Make a relationship log.  Look for relationship patterns.  Express your emotions.  Nurture yourself.  Grieve the loss.  Put away reminders.  Disconnect on social media.  Focus on the present moment.  Take up hobbies.  Seek support from others.  Meet new people.  Take a vacation.  See a therapist, if necessary.  Feel gratitude.",14
794,How to Forget About a Girl You Love Who Has a Boyfriend," Try to find someone else that you like.  Don't listen to any slow songs or love songs... you will just miss her more.  , If you are friends with her, make it clear to yourself that friendship is all she wants.  Be sensitive to her, but not overly.  There are other women, who will accept you!, Go out and have some fun.  Don't cry over a girl who doesn't like you.  , Do not let yourself think that you're not attractive, or that you will never find someone better.  If she has a Myspace, Facebook, etc, avoid her page.  Don't have her within your top 5/10/etc, unless you are practically best friends.  Try not to look at her.  , If you start to think about her, then think about someone else.  , Don't call or IM her a lot.  Unless you have a legit reason, just don't call/text her.  , Don't look at her as the most important person in your life.  , Say no to her once in a while.  , If you are a student: Forget her because it could affect your mental health, which will directly affect your exams.  There are billions of women in the world, one tiny fish in the sea is not going to make your life worse, you have to be confident in your self and realize that you have the guts to move on.  , Wasting your time with her is going to make your life worse, realize that she is nothing anymore.  , Listen to music, go workout or run, go do a sport you can take your frustration out on ex: Wrestling, Boxing, Hockey etc.  , Hang out with your guy friends (only guys) and go out and have a good time.  , Don't fight with the boyfriend. Don't reminisce about the old times  ,Try not to get kicked out because of her  ,Don't write songs about her anymore  ,Find a new best friend  , Don't go to the things that remind you of her like... Ice cream you used to buy for her, your favorite shows, things you used to do together.  , Never regret yourself that you loved her .  , Don't think that you are a failure in love. Stop thinking of what could have been, it will drive you crazy  , Tell yourself she wasn't good enough for you.  , Try to stay away from your crush if you both work in the same office.",26
795,How to Feel Better when You're on a Break from Your Boyfriend," Discuss the reason for the break with your boyfriend.  Listen to your boyfriend's concerns, reasons and thoughts.  Reach an agreement on what this break means for both of you.  Discuss what will change in the relationship and what will stay the same.  Consider deciding how long the break will be.  Once the break starts, follow the rules you agreed on.  , Stay busy.  Invest more time in doing work or studying.  Devote more time and energy to doing things that make you happy.  , Be more social.  Re-connect with old friends you may have neglected.  , Avoid spending too much time by yourself.  Consider avoiding hanging out in situations with a bunch of couples.  Catch up now and then.  Be honest with your boyfriend about your questions and concerns.  Use assertive statements when expressing yourself.  Consider how you feel after the break.  Think about how you will react if you wish to continue with the relationship but he doesn't.  Think about how you will react if both of you wish to resume the relationship.",19
796,How to Feel Better After a Friendship Breakup," Feel the pain.  Talk to someone.  Let your tears out.  Change your thinking.  Appreciate what you had.  Tell them goodbye.  Pour your grief into a creative project.  Eat well.  Get enough rest.  Get out and exercise.Exercise will keep you feeling better overall, and it will help keep your energy up.  Skip the alcohol.  Do things you enjoy.  Be kind to your other friends.  Determine what you want in new friends.  Make new friends.",15
797,How to Dump Girls, Figure out what you're going to say.  Do it in person if you care at all.  Pick the right time.  Pick the right place.  Stay cool when you ask her to meet up.  Cut to the chase.  Let her see that you're hurt too.  Let her talk.  Explain as much as you want.  Stick to your word.  Don't be a jerk.  Keep it short and sweet.  Try to end on a positive note.,13
798,How to Fix a Broken Heart1, Let your emotions loose.  Don't force yourself to be social.  Take time to think about your relationship.,3
799,How to Fix a Broken Heart2, Spend time with your family.  Spend time with your close friends.  Get back in touch with long-lost friends.,3
800,How to Fix a Broken Heart3, Improve your self-esteem.  Pursue a new interest.  Learn to love being alone.  Do something you weren't able to do during your relationship.,4
801,How to Fix a Broken Heart4, Make sure you're ready to start dating.  Start dating just for fun.  Open yourself to another serious relationship.,3
802,How to Deal With Asking out and Being Rejected by a Girl, Know that rejection is a common reality.  Temper your expectations.  Avoid infatuation.  Remember that your crush is a human being.  Leave yourself other social options.  Try not to procrastinate.  Be crystal clear.  Don't question her response.  Listen to what she says.  Realize that rejection is not a personal indictment.  Accept lingering awkwardness.  Occupy yourself with other people.  Focus on your personal aspirations.  Consider trying again - in due time.,14
803,How to Dump a Boy," Figure out what you're going to say.  Create some distance.  Do it in person if you really care.  Pick the right moment.  Pick the right place.  Tell him you want to break up.  Explain your reasoning as much as you want.  Hear him out.  Don't be too mean to him.  Wrap it up as soon as you can.  Be firm.  Try to end on a good note.  Stay away from him for a while.  Get some ""me"" time.  Start putting yourself out there when you're ready.  Try to be friends with the boy if you want to.",16
804,How to Decide Whether to Break Up or Not Using a Broken Heart Exercise," Draw a broken heart on a piece of paper.  Think of all the things you like about this person.  Think of the bad things about this person.  Look at how many stitches or other items you have left after going through the list of likes and dislikes.  Realize that this is just a fun test, not a foolproof method of guessing what is best.",5
805,How to End a Romantic Relationship (Teens)," Make sure you are actually ready to break up.  Think about what you want to say first.  Pick a good time.  Keep it a secret.  Show up in person.  Pick a place in private.  Use open confrontation.  Start with something nice.  Use ""I"" instead of ""we."", Don't go negative about the other person.  Don't be mean.  Ask how the person is doing.  Be absolutely clear.  Keep your mouth under control.  Understand that you'll still feel sad.",15
806,How to Deal With a Girl That Doesn't Love You, Look for clues.  Accept that its over.  Feel your feelings.  Avoid contact with her.  Stay away from her online profiles.  Refrain from intimate contact.  Avoid acting on feelings of vengeance.  Have fun.  Focus on a goal.  Give it some time.,10
807,How to Deal With a Guy Not Liking You in Middle School1, Drop hints.  Tell him.  Stay friends.  Distance yourself.  Don't try to make him like you.  Act cool.  Don't obsess over it.,7
808,How to Deal With a Break Up," Let your emotions loose.  Get that much-needed alone time.  Don't force yourself to be ""okay."", Confide in a close friend.  Let go of your bitterness and regret.  Start to realize that you're better off alone.  Stop talking to your ex.  Get rid of anything that reminds you of your ex.  Take it easy with social media for a while.  Avoid doing things that remind you of your ex.  Change your environment as much as you can.  Stay busy.  Spend time with your loved ones.  Write in a journal.  Pick up a new hobby.  Do something your ex never wanted to do.  Don't let him stop you anymore.  Enjoy your alone time.  Get some exercise.  Remind yourself of all the things you're grateful for.  Get ready to love again.",21
809,How to Deal With Heartache (Teen Girls), Cry it out.  Don't broadcast your breakup.  Reflect privately on your feelings.  Exercise.  Get outdoors.  Talk to your parents.  Recognize the difference between grief and depression.  Distance yourself in person.  Keep your distance on social media.  Get rid of reminders of your old relationship.  Avoid rebound dates.  Hang out with your friends.  Continue to do things you enjoy.  Talk to your ex.  Accept your new status as friends.  Reach out to your ex's new love interest.,16
810,How to Deal with an Ex Who Seems Fine After Your Breakup1, Accept that they're okay.  Give them space.  Be respectful.,3
811,How to Deal With a Guy Not Liking You in Middle School2, Realize that your feelings are normal.  Vent.  Talk to your parents about it.  Ask your parents about dating.  Be glad it didn't work out.,5
812,How to Deal With a Guy Not Liking You in Middle School3, Learn who you are.  Think about how you want to be treated.  Focus on you.  Forget about guys for a while.,4
813,How to Deal with an Ex Who Seems Fine After Your Breakup2, Boost your self-esteem.  Take care of your health.  Express your feelings.  Develop your interests.,4
814,How to Deal with an Ex Who Seems Fine After Your Breakup3, Reconnect with family and friends.  Reflect on what you have learned.  Keep a journal.  Get help if needed.  Be patient with yourself.,5
815,How to Cope With Depression After a Break Up, Know this will take time.  Understand the emotions that you are feeling are normal and embrace them.  Hide everything that it is too difficult to see right now.  Try to keep a regular schedule as best as you can.  Try to get your mind off of it.  Enjoy spending time with the people who are still in your life.  Accept the end of the relationship.,7
816,How to Break up With a Girl," Find a legitimate reason to break up with her.  Find a quiet, isolated place free of distractions.  Start off blunt.  Give her a truthful explanation.  Take responsibility for your mistakes, if possible.  Be calm and reassuring.  Talk to her, but keep the conversation short.  Follow the list of ""don'ts.""",8
817,How to Win a Girl Back," Give her some space.  Give yourself some time to reflect.  Stay busy.  Let her see you having a great time.  Make her jealous (optional).  If it was too easy the first time, make her chase you.  If it was too hard the first time, make it easier.  If you hurt her, apologize.  Show what a better, more mature person you've become.  Tell her how you feel.  Take her out.  Keep the girl this time.",12
818,How to Break Up with Your Girlfriend Nicely," Don't break up with your partner by text, phone or email.  Don't place blame solely on the other person for the breakup.  Don't lead your ex on.  Don't be a blabbermouth.  Don't be petty.  Try to minimize the heartache.  Be prepared for a range of emotions.  Give her a truthful explanation.  Be reassuring.  Offer to talk with her at a later time if she has any questions.",10
819,How to Tell a Guy That You're Not Allowed to Date, Ask your parents why.  Be respectful.  Explore compromises.  Seek the help of a trusted adult.  Understand your feelings.  Think before you speak.  Deliver the message.  Be aware of timing.  Ensure he understands your point of view.  Don't apologize or defend yourself.  Remain calm.  Suggest that you be friends instead.,12
820,How to Tell a Boy You Aren't Interested in a Relationship," Choose a good time and place to talk.  Think about texting him if you're worried about a hostile reaction.  Plan what you want to say.  Be honest and direct.  Withhold some information, if necessary.  Be careful about being friends.  Lessen contact for awhile.  Repeat your rejection if necessary.  Ignore him if he keeps pressuring you for a romance.  Do not wait to tell him you're not interested.  Fade away only under certain circumstances.  Do not simply avoid him if you have the same social circle.",12
821,How to Cope With Being Used by a Boy, Avoid getting even.  Keep your distance.  Learn from the experience.  Take responsibility for how you may have contributed.  Forgive.  Let go.  Express how you feel.  Know your basic human rights.  Don't take it personally.  Avoid blaming yourself.  Practice resiliency.  Use self affirmations.  Have a solid support network.,13
822,How to Break Up with a Boy," Figure out what you're going to say.  Drop some hints.  Do it face-to-face if you can.  Pick the right place and time.  Tell him it's over.  After the break up, let him ask questions.  Explain further if it's necessary.  Avoid being too mean.  Keep it short.  Stand your ground.  If you want to stay friends, tell him that.  End on a good note.  Don't try to be friends right away.  Take some time to recover emotionally.  Don't talk about him behind his back.  Keep the public hooking up with other guys to a minimum.  See if you can be friends eventually.",17
823,How to Deal With Heartbreak, Give yourself time.  Give yourself space from your ex.  Don't fight your feelings.  Make plans.  Take care of yourself.  Impose a daily limit on grieving.  Beware of the rebound.  Watch how you act online.  Remember that your end goal is to move on.  Seek help.,10
824,How to Politely Turn Down a Guy," Before you even say a word, think long and hard about why you don't want to date him/her.  If you STILL want to say no,thank this person (if you hung out together) for all the good times you had.  , Be clear about your decision, but do not be bluntly honest about the reason.  Do not say ""I'm not ready for a relationship,"" or even ""I already have a boyfriend/girlfriend,"".  You are not obligated to discuss or provide a lengthier explanation of why you do not want to date someone.  If you already had a friendship, you may ask if you can still be friends.",6
825,How to Tell a Boy to Stop Touching You1, Tell him to stop immediately.  Show your emotions.  Push him away.  Run away.  Call for help.  Involve the police.,6
826,How to Say No to a Boy," Tell the truth.  Thank him.  Be clear, but not hurtful.  Follow his lead.  If he keeps insisting, tell him things aren't going very well at school or work and the last thing you need is a boyfriend on your mind.",5
827,How to Let a Guy Friend Know You're Not Interested Romantically in a Nice Way1, Pick the right time and place.  Prepare what you'll say.  Predict his reaction.,3
828,How to Safely Reject Unwanted Advances1, Say no firmly.  Lie if you need to.  Don't give them any of your information.  Get away.  Stay calm.  Make a report.,6
829,How to Tell a Boy to Stop Touching You2, Talk ahead of time.  Move his hand away.  Tell him to stop.  Explain your reasons.  Clarify ways that you are comfortable being touched.,5
830,How to Tell a Boy to Stop Touching You3, Move away from him.  Tell an adult.  Leave him.  Listen to your gut.,4
831,How to Let a Guy Friend Know You're Not Interested Romantically in a Nice Way2, Be honest.  Be firm.  Don't lie or make excuses.  Say how much you value his friendship.  Take the time to listen to him.,5
832,How to Let a Guy Friend Know You're Not Interested Romantically in a Nice Way3, Don't make it awkward.  Take a break.  Go back to being friends.,3
833,How to Safely Reject Unwanted Advances2, Be unambiguous.  Set clear boundaries and consequences.  Hold your boundaries.  Shut it down if it continues.,4
834,How to Safely Reject Unwanted Advances3, Stay calm.  Refuse communication.  Document harassment.  Don't accept open drinks.  Stay in touch with friends when you party.,5
835,How to Make Someone Fall Out of Love with You1," Call, text, and message them constantly.  Be critical of them.  Be controlling.",3
836,How to Make a Guy Not Like You1," Be straight with him.  Say a clear ""no."" Say no to reject a guy who asks you to do something you don't want to do, and he will get the message and likely change his feelings.  Give him logical reasons.  Use an excuse if you have to.  Offer to set him up with someone else.",6
837,How to Politely Turn Down a Boy in Middle School," Remain calm.  Be polite.  Start by offering help on his part.  Calmly explain to him your feelings.  If you have a boyfriend, say so, in a NICE way so it won't hurt him.  Wait for his response.  If he seems really upset and might cry, tell him sorry and get to class.  If he is or may become violent, walk away quickly and tell a trusted adult.  ",8
838,How to Decline a Date1," Say ""no."", Don't lead the person on.  Ask your friends for backup.",3
839,How to Make Someone Fall Out of Love with You2, Stop making your relationship a priority.  Do not show any support.  Act distant.,3
840,How to Make Someone Fall Out of Love with You3, Consider your decision carefully.  Discuss your feelings and decision with the individual.  Accept that the other person is entitled to react as they choose.,3
841,How to Make a Guy Not Like You2, Avoid him.  Block him on social networks.  Find out what he dislikes and start doing it.  Use reverse psychology.,4
842,How to Make a Guy Not Like You3, Talk to a friend.  Talk to your parents or trusted adults.  Talk to the police if things get bad.,3
843,How to Decline a Date2, Be compassionate.  Try not to go too deep.  Suggest someone else.,3
844,How to Decline a Date3, Be straightforward.  Don't go into too much detail.  Be honest.,3
845,How to Deal With a Guy Who Thinks You Like Him1, Talk to him about the situation.  Treat him with civility.  Don't flirt with him.,3
846,How to Avoid a Guy Who Likes You that Thinks You Like Him," Tell him you don't like him.  Pretend that he doesn't exist.  Forbid your friends to give him your personal info, including your telephone number, MSN address, email address, etc.  One way guys try to get a girl's attention is to hover around her or try to have physical contact with her (ex: brushing past).  Although this can be risky, this trick will put him down if you do this correctly.  Stay away from him as much as possible.  Whenever your friends talk about him, make fun of him a little bit, but be careful not to get carried away.  If he keeps on flirting with you like hitting you in the head or messing with your hair, simply turn around and firmly tell him to stop.  Smile when he is upset about you not liking him.",9
847,How to Deal with Admirers1," Take a deep breath.  Remember that, even if you feel like you are doing something wrong, it is NOT your fault!, Stop smiling, stop frowning, stop wearing masks.",2
848,How to Avoid a Guy Who Likes You in High School1, Time your day accordingly.  Find ways to occupy yourself.  Join (or start) a new club.  Make a new friend.  Stay away from his usual hangouts.  Surround yourself with a group.,6
849,How to Deal With a Guy Who Thinks You Like Him2," Don't hang out with him too often.  Limit physical contact.  Limit online contact.  Ignore him, if necessary.",4
850,How to Deal With a Guy Who Thinks You Like Him3, Don't show sadness in front of him.  Avoid badmouthing him.  Accept that you can't be attracted to everyone.  Take deep breaths.,4
851,How to Deal with Admirers2, Look at him/her in the eye and talk as clearly as you can.  Go straight to the point and admit that you are just not interested.  Don't go back and forth.,3
852,How to Deal with Admirers3," Breath out, it is almost over.  If you feel comfortable enough with the person, try a nice gesture such as a gentle stroke on the shoulder but do not hug!, Just go.",2
853,How to Avoid a Guy Who Likes You in High School2, Write to him.  Stick to it.  Talk to him.,3
854,How to Avoid a Guy Who Likes You in High School3, Block him on social media.  Talk to an adult about the situation.  Let it go.,3
855,How to Avoid a Girl With a Crush," Talk to her.  Give her a few days to let this information sink in.  Avoid making eye contact.  Nod whenever you pass casually in the hallway and don't smile, so that it's not a greeting, but an acknowledgment.  Don't pick up that phone if she calls you!, Resist having any conversations with her.  Find someone for her to hook up with.",6
856,How to Deal With a Flirtatious Boy when You Don't Desire a Relationship," Be calm at first and assess the situation.  If this boy is a flirt but is flirting more excessively with you than anyone else, be on the cautious side.  If you don't want to have a relationship, you should try to make it clear first off.  Try not to be caught alone when he may bother you.  Keep in mind that while the above mentioned steps will help, they are not guaranteed to stop him.  The worst just may happen.  If you are meeting in person, you have no choice but to immediately respond.  If the encounter happens on Facebook/email or over the phone, you have time and are lucky.  It's most likely that after this, you and the boy will avoid each other.",9
857,How to Avoid the Boy Who Knows You Like Him1, Change your schedule.  Change seats.  Avoid hanging out with his friends.  Avoid online contact.  Keep texts or calls short.  Pick up a new hobby.,6
858,How to Repel Your Unwanted Crushes," Make sure there really are no chances.  Acknowledge your own sense of embarrassment or discomfort about the situation but don't let this deflect you from your mission of telling it like it is.  Once you've tackled your own feelings, quell any desire to laugh off your crush.  Be concrete about how you feel.  Stay open with one another.  Avoid the guilt trip.",6
859,How to Stop Crushing over an Actor," Stop watching films or TV shows that this actor is in.  Delete photos of this actor from your phone.  Take down posters of the actor.  Look up bad critics of the actor.  If you follow the actor on Twitter, unfollow now!, Understand that you cannot love somebody you do not know.  Keep telling yourself that you don't have a chance with the actor.  Avoid substituting the actor's last name as your last name.  Be aware of how this obsession is eating into your real life.",8
860,How to Avoid the Boy Who Knows You Like Him2, Avoid eye contact.  Avoid laughing or smiling at him.  Walk quickly.  Use body language to make yourself look unavailable.,4
861,How to Avoid the Boy Who Knows You Like Him3, Sort out your feelings.  Play it cool.  Be patient.,3
862,How to Get over Your Crush Who's a Jerk1, Switch fantasy for flaws.,1
863,How to Spot a Player, Watch out for over-confidence.  Calculate the age gap.  Glance at the phone.  Track him down.Pay attention to the places he frequents when you're not around.  Beware of flattery.  Don't dismiss dishonesty.  Consider the player's life story.  Share your own story.  Talk about past relationships.  Defend your own innocence.  Value your own time.  Avoid hot-and-cold behavior.  Change up your meeting place.  Maintain eye contact.  Move slowly.  Take it public.  Get to know the friends.Try to spend time with his friends.  Introduce your own family and friends.  Ask for opinions.  Watch how others are treated.,20
864,How to Get Over Your Celebrity Crush," Face it.  Look at your admiration for this celebrity logically.  Distance yourself from your crush.  Spend a lot of time watching or listening or whatever at them.  Find a friend or special someone you enjoy spending time with.  You should know to back off if your celebrity crush is taken.  If you're cheering on a celebrity who is separating/divorcing from their significant other, know that this celebrity is probably feeling pain right now, and you shouldn't be reveling.",7
865,How to Get over Your Crush Who's a Jerk2," Write down your feelings.  Think about other things.  Don't think of yourself as a loser just because the person said they didn't like you or that you're too smart, too nice, etc.  , Try talking to a parent, sibling or a friend about what's happened.",4
866,How to Get over Your Crush Who's a Jerk3, Completely rid yourself of that person.  Get out more.  Give yourself time.  Keep looking.,4
867,How to Make Your Ex Girlfriend Jealous," Understand the differences between healthy jealousy, and unhealthy jealousy.  Stop contacting your ex-girlfriend.  Make improvements to your current lifestyle.  Stay in touch with friends you share with your ex-girlfriend.  Stay active on social media.  Act confident and nonchalant when you run into your ex in public.  Don't make yourself available for your ex-girlfriend.  Allow yourself to start dating again.",8
868,How to Act when You Dislike Your Teen's Date1, Talk in private.  Be direct about your concerns.  Avoid making it about you.  Reiterate your love for your child.  Listen to their opinion.,5
869,How to Act when You Dislike Your Teen's Date2, Get to know them first.  Be courteous.  Resist the temptation to grill the date.  Look for positives.,4
870,How to Act when You Dislike Your Teen's Date3," Trust your child to make good decisions.  Give your child the opportunity to learn.  Respect your child's boundaries, but set limits on the relationship.  Intervene if you believe your child is being abused.",4
871,How to Get Over a Crush, Find people who know what you're feeling.  Admit you have a crush.  Tell your crush.  Acknowledge defeat.  Separate yourself from your crush.  Meet some new people.  Take care of yourself.  Be wary of relapsing.  Avoid becoming bitter.  Make a list of bad things about your crush.,10
872,How to Get Over a Crush on Your Best Friend1," Tell your friend you have a crush if you need closure.  Reveal how you feel if the friendship has changed.  Don't tell your friend if they are in a relationship.  Talk about your feelings in-person.  Let them know how deeply you care about them.  Accept their reaction, no matter what.",6
873,How to Get over Someone That You Know Doesn't Like You," All this information will be if you are not particularly close or friends with the person.  Decide first if you want to get rid of them for good.  Cut off any contact you may have with him/her.  Do not try to talk to them when unnecessary.  Write a list of all their bad points.  try to remember a time that they were not particularly nice to you or annoyed you.  Remember, if they were not willing to make an effort with you; why should you too?, Spend more time with friends and family.  If you have imaginations/fantasies of this person in your mind then replace them with someone else.  Check out other guys/girls.  Find new interests or be more involved in activities.  Look after yourself, you are more important than some person you barely know.",11
874,How to Get Over a Crush on Your Best Friend2, Separate fantasy from what actually is.  Appreciate your friendship for what you have.  Spend some time apart for a while.  Set boundaries.,4
875,How to Get Over a Crush on Your Best Friend3, Allow yourself to feel without restrictions.  Practice self-care.  Let yourself laugh.  Express your feelings creatively.  Regain your confidence.,5
876,How to Get Over a Crush on Your Best Friend4," ""Date yourself"" for a while.  Take up a new hobby.  Spend time with your other friends.  Go out with other people, when you're ready.  Accept that falling out of love takes time.",5
877,How to Get over the Crush You Have on Your Guy Friend," Stop only thinking about him.  Don't cling to him whenever you, your friend, and his crush are together.  If the girl he likes is nice, try to make friends with her.  Try not to care so much about what he thinks.  If you have a close enough friend that's a girl, try seeking her advice.  Try to focus on one of his flaws.  Don't let this ruin your life!, Do not let this crush ruin your friendship.",7
878,How to Get Over a Guy Who Doesn't Like You," Release your hope for him.  Grieve.  Evaluate his behavior and your own.  Remind yourself of things you didn't like about him.  Remember that you're loveable.  Renew yourself.  Be healthy and take care of yourself.  Date when you're ready.There's no need to rush it, but when dating sounds appealing to you, try it out.  Take some distance if you can.  Spend more time with your friends.  Confide in your friends.  Dismiss gossip.",12
879,How to Deal With Your Crush Not Liking You1, Make a list of what you like about yourself.  Write down everything in your life that makes you happy.  Look at the big picture.,3
880,How to Get over a Crush Because You Have Moved Away," Decide whether or not you want to stay in touch.  Let yourself be sad for a while.  Spend some time thinking about your crush, but limit it.  Write it out.  Give it some time.  Make new friends.  Start with a clean slate.  Try new things.  Stay healthy.  Find a new crush.",10
881,How to Deal With Your Crush Not Liking You2, Find a hobby or activity that makes you happy.  Treat your crush kindly.  Name your negative feelings.  Create distance between you and your crush.  Distract yourself.  Look for the positives.,6
882,How to Deal With Your Crush Not Liking You3, Journal about it.  Spend time with family and friends.  Purse other interests.  Take care of yourself.  Look for someone who does appreciate you.,5
883,How to Deal With One of Your Friends Dating Your Crush1, Think about your friend's feelings.  Consider what's best for your crush.  Be honest with yourself about your feelings for your crush.  Decide whether to tell them.,4
884,How to Get over a Manipulative Crush," Realize that just because he doesn't like you doesn't mean you're unlikable.  Back off for a bit, don't interact with him just for the sake of being around him.  Be glad he didn't lead you on.  Think about all the things you didn't like about him.  Spend more time with your friends.",5
885,How to Forget Your Crush," Let your emotions out.  Forget your anger and bitterness.  Focus on your crush's worst qualities.  Know that you deserve better.  Remember how amazing you are.  Stop talking to your crush.  Stop talking about your crush, too.  Avoid your crush on social media.  Avoid places where your crush is likely to be.  Mix up your routine.  Lean on your friends and family.  Do what you love.  Enjoy your solo time.  Get out of the house.  Love the single life.  Get ready for a new crush.",16
886,How to Deal With One of Your Friends Dating Your Crush2, Remember that you have value.  Find an outlet for your feelings.  Don't give in to self-destructive urges.  Look to other friends for support.,4
887,How to Deal With One of Your Friends Dating Your Crush3, Decide when it's time to move forward.  Take control of your life.  Open yourself up to new romantic opportunities.  Be kind to your friend and old crush.,4
888,How to Deal With Being Disappointed by Your Crush," Try to not let yourself break down right in front of him/her.  When you are by yourself, allow yourself to cry if you need to.  Don't let this person bring you down because he/she is not even worth it.  Consider the positives of the situation.  If you see this person a lot, try not to avoid them.  Don't totally discount the idea of being friends in the future.  The most important thing to remember is continue to love yourself.",7
889,How to Answer when Your Crush Asks You a Strange Question1, Pause.  Smile.  Ask for clarification.,3
890,How to Ask Your Crush Who He/She Likes Without Letting Him/Her Suspect Anything," Don't be straightforward!, Play truth or dare.  If they say ""nobody"" there's a 50% chance they might be lying.  If they look down on the floor with sad eyes, they might be shy or they are heartbroken.  If they are startled or froze, their crush might be you!, If they say out another people's name, then there is a 50% chance that they are making it up.  There is a 1% chance that this would happen unless that person is straightforward.  Start with step 1 or 2 then follow 3 onwards.",6
891,How to Act Cool Around Your Crush (for Girls)," Be confident!, Work to his advantage.  Talk to him when you get the chance, but don't seem desperate.  Have a reason to.  Make his friends your friends.  , Show your humour!, Be confident (2).  Enjoy yourself!, Be yourself!",6
892,How to Accept that Your Crush Doesn't Like You1, Spend time on your hobbies.  Meet new people.  Try something completely different.,3
893,How to Answer when Your Crush Asks You a Strange Question2," Laugh it off.  Joke around.  Tell the person that you don't want to answer that question.  Say you don't know.  Tell them that the question made you uncomfortable, if this is applicable.  Ask them about something else.",6
894,How to Answer when Your Crush Asks You a Strange Question3," Initiate a different conversation.  Use positive, open body language.  Give your crush a compliment.",3
895,How to Approach Your Crush1, Give yourself a pep talk.  Wait until the right time.  Act natural.  Just do it.,4
896,How to Accept that Your Crush Doesn't Like You2, Respect your crush's boundaries.  Explain that you need some time to recover.  Unfollow or block your crush on social media.  Stay away from places you think your crush may be.  Avoid asking your friends about your crush.  Avoid entertainment that reminds you of your crush.,6
897,How to Accept that Your Crush Doesn't Like You3, Accept your feelings.  Find support.  Make a list of your good qualities.  Think about your crush's negative traits.  Express yourself creatively.  Practice good self-care.,6
898,How to Approach Your Crush2, Do some mental preparation.  Talk about them.  Highlight your common interests.  Know when to break away.,4
899,How to Approach Your Crush3, Be confident.  Smile.  Freshen up.  Keep a positive attitude.,4
900,How to Recognize That You Have a Crush on Someone1, Know what a crush is.  Know that there are different kinds of crushes.  Figure out how serious your crush is.,3
